bioguide,thomas,lis,govtrack,opensecrets,votesmart,fec,cspan,wikipedia,house_history,ballotpedia,maplight,icpsr,wikidata,google_entity_id,pictorial,first_name,middle_name,last_name,nickname,suffix,official_full_name,birthday,gender,term_type,term_start,term_end,state,district,senate_class,party,caucus,state_rank,url,address,phone,fax,contact_form,office,rss_url,how_appointed
M000031,,,407058,,,,,"William Maclay (Pennsylvania politician, born 1737)",,,,5891,Q442393,kg:/m/02d56c,,William,,Maclay,,,,1737-07-20,M,sen,1789-03-04,1791-03-03,PA,,1,Anti-Administration,,,,,,,,,,
M000234,,,407252,,,,,George Mathews (soldier),17612,,,6071,Q887630,kg:/m/0357nx,,George,,Mathews,,,,1739-08-30,M,rep,1789-03-04,1791-03-03,GA,3,,,,,,,,,,,,
M000985,,,407953,,,,,Robert Morris (financier),18562,,,6712,Q464876,kg:/m/01hh_b,,Robert,,Morris,,,,1734-01-20,M,sen,1789-03-04,1795-03-03,PA,,3,Pro-Administration,,,,,,,,,,
P000092,,,408502,,,,,George Partridge,19385,,,7224,Q1508042,kg:/m/06gh02,,George,,Partridge,,,,1740-02-08,M,rep,1789-03-04,1791-03-03,MA,5,,,,,,,,,,,,
P000102,,,408510,,,,,William Paterson (judge),19400,William Paterson,,7231,Q729054,kg:/m/01r022,,William,,Paterson,,,,1745-12-24,M,sen,1789-03-04,1791-03-03,NJ,,2,Pro-Administration,,,,,,,,,,
S000624,,,410099,,,,,William Smith (Maryland politician),21907,,,8693,Q978343,kg:/m/03nqjd,,William,,Smith,,,,1728-04-12,M,rep,1789-03-04,1791-03-03,MD,4,,,,,,,,,,,,
S000961,,,410420,,,,,Michael Jenifer Stone,22329,,,8983,Q219505,kg:/m/07xtws,,Michael,Jenifer,Stone,,,,,M,rep,1789-03-04,1791-03-03,MD,1,,,,,,,,,,,,
V000053,,,411095,,,,,Jeremiah Van Rensselaer,20938,,,9629,Q1687548,kg:/m/0506gg,,Jeremiah,,Van Rensselaer,,,,1738-08-27,M,rep,1789-03-04,1791-03-03,NY,6,,,,,,,,,,,,
W000783,,,411931,,,,,Henry Wynkoop,24156,,,10405,Q5730595,kg:/m/03tpf2,,Henry,,Wynkoop,,,,1737-03-02,M,rep,1789-03-04,1791-03-03,PA,-1,,,,,,,,,,,,
D000324,,,403444,,,,,Philemon Dickinson,12231,,,2576,Q2702466,kg:/m/03zxkh,,Philemon,,Dickinson,,,,1739-04-05,M,sen,1790-01-01,1793-03-03,NJ,,2,Pro-Administration,,,,,,,,,,
W000059,,,411238,,,,,John Walker (Virginia politician),23286,,,9747,Q450549,kg:/m/03zy19,,John,,Walker,,,,1744-02-13,M,sen,1790-01-01,1791-03-03,VA,,1,Pro-Administration,,,,,,,,,,
A000307,,,400951,,,,,John Baptista Ashe (Continental Congress),8686,,,259,Q1699261,kg:/m/02__xr,,John,Baptista,Ashe,,,,,M,rep,1789-03-04,1791-03-03,NC,1,,,,,,,,,,,,
A000307,,,400951,,,,,John Baptista Ashe (Continental Congress),8686,,,259,Q1699261,kg:/m/02__xr,,John,Baptista,Ashe,,,,,M,rep,1791-10-24,1793-03-03,NC,3,,,,,,,,,,,,
B000167,,,401169,,,,,Robert Barnwell,8986,,,456,Q2156471,kg:/m/027gy1,,Robert,,Barnwell,,,,1761-12-21,M,rep,1791-10-24,1793-03-03,SC,2,,,,,,,,,,,,
B001133,,,402077,,,,,Aaron Burr,,,,1302,Q179090,kg:/m/0fsc6,,Aaron,,Burr,,,,1756-02-06,M,sen,1791-10-24,1797-03-03,NY,,1,Republican,,,,,,,,,,
C000009,,,402171,,,,,George Cabot,,,,1384,Q382723,kg:/m/043103,,George,,Cabot,,,,1752-12-03,M,sen,1791-10-24,1797-03-03,MA,,1,Federalist,,,,,,,,,,
C000185,,,402332,,,,,Charles Carroll of Carrollton,10684,,,1536,Q466009,kg:/m/01jtw2,,Charles,,Carroll,of Carrollton,,,1737-09-19,M,sen,1789-03-04,1791-03-03,MD,,1,Pro-Administration,,,,,,,,,,
C000185,,,402332,,,,,Charles Carroll of Carrollton,10684,,,1536,Q466009,kg:/m/01jtw2,,Charles,,Carroll,of Carrollton,,,1737-09-19,M,sen,1791-10-24,1793-03-03,MD,,1,,,,,,,,,,,
E000147,,,403838,,,,,Oliver Ellsworth,12776,Oliver Ellsworth,,2936,Q515858,kg:/m/027xqz,,Oliver,,Ellsworth,,,,1745-04-29,M,sen,1789-03-04,1791-03-03,CT,,1,Pro-Administration,,,,,,,,,,
E000147,,,403838,,,,,Oliver Ellsworth,12776,Oliver Ellsworth,,2936,Q515858,kg:/m/027xqz,,Oliver,,Ellsworth,,,,1745-04-29,M,sen,1791-10-24,1797-03-03,CT,,1,Federalist,,,,,,,,,,
G000139,,,404507,,,,,Elbridge Gerry,13737,,,3541,Q219797,kg:/m/02sp2,,Elbridge,,Gerry,,,,1744-07-17,M,rep,1789-03-04,1791-03-03,MA,3,,,,,,,,,,,,
G000139,,,404507,,,,,Elbridge Gerry,13737,,,3541,Q219797,kg:/m/02sp2,,Elbridge,,Gerry,,,,1744-07-17,M,rep,1791-10-24,1793-03-03,MA,3,,,,,,,,,,,,
H000916,,,405761,,,,,Daniel Huger,15416,,,4695,Q1161182,kg:/m/04vc5n,,Daniel,,Huger,,,,1742-02-20,M,rep,1789-03-04,1791-03-03,SC,3,,,,,,,,,,,,
H000916,,,405761,,,,,Daniel Huger,15416,,,4695,Q1161182,kg:/m/04vc5n,,Daniel,,Huger,,,,1742-02-20,M,rep,1791-10-24,1793-03-03,SC,3,,,,,,,,,,,,
J000036,,,405941,,,,,Israel Jacobs,15735,,,4871,Q6087007,kg:/m/09q5_d,,Israel,,Jacobs,,,,1726-06-09,M,rep,1791-10-24,1793-03-03,PA,3,,,,,,,,,,,,
K000158,,,406322,,,,,Philip Key (U.S. politician),16275,,,5224,Q219450,kg:/m/05583l,,Philip,,Key,,,,,M,rep,1791-10-24,1793-03-03,MD,1,,,,,,,,,,,,
R000091,,,409071,,,,,"George Read (American politician, born 1733)",20195,,,7762,Q471303,kg:/m/01mrhw,,George,,Read,,,,1733-09-18,M,sen,1789-03-04,1791-03-03,DE,,1,Pro-Administration,,,,,,,,,,
R000091,,,409071,,,,,"George Read (American politician, born 1733)",20195,,,7762,Q471303,kg:/m/01mrhw,,George,,Read,,,,1733-09-18,M,sen,1791-10-24,1793-12-31,DE,,1,,,,,,,,,,,
R000350,,,409321,,,,,Moses Robinson,,,,7989,Q888648,kg:/m/05k_0t,,Moses,,Robinson,,,,1741-03-22,M,sen,1791-10-24,1796-10-15,VT,,1,Anti-Administration,,,,,,,,,,
S000140,,,409648,,,,,Cornelius C. Schoonmaker,21310,,,8272,Q653373,kg:/m/09q5dw,,Cornelius,Corneliusen,Schoonmaker,,,,,M,rep,1791-10-24,1793-03-03,NY,4,,,,,,,,,,,,
S000242,,,409746,,,,,Joshua Seney,21435,,,8363,Q501799,kg:/m/06ll_8,,Joshua,,Seney,,,,1756-03-04,M,rep,1789-03-04,1791-03-03,MD,2,,,,,,,,,,,,
S000242,,,409746,,,,,Joshua Seney,21435,,,8363,Q501799,kg:/m/06ll_8,,Joshua,,Seney,,,,1756-03-04,M,rep,1791-10-24,1793-03-03,MD,2,,,,,,,,,,,,
S000340,,,409837,,,,,Upton Sheredine,21559,,,8449,Q2119992,kg:/m/08yry1,,Upton,,Sheredine,,,,,M,rep,1791-10-24,1793-03-03,MD,6,,,,,,,,,,,,
S000349,,,409845,,,,,Roger Sherman,21573,,,8457,Q354721,kg:/m/01mp_3,,Roger,,Sherman,,,,1721-04-19,M,rep,1789-03-04,1791-03-03,CT,-1,,Pro-Administration,,,,,,,,,,
S000349,,,409845,,,,,Roger Sherman,21573,,,8457,Q354721,kg:/m/01mp_3,,Roger,,Sherman,,,,1721-04-19,M,sen,1791-10-24,1793-12-31,CT,,3,Pro-Administration,,,,,,,,,,
S000412,,,409906,,,,,Peter Silvester (1734–1808),21650,,,8511,Q2078354,kg:/m/09l13b,,Peter,,Silvester,,,,,M,rep,1789-03-04,1791-03-03,NY,5,,,,,,,,,,,,
S000412,,,409906,,,,,Peter Silvester (1734–1808),21650,,,8511,Q2078354,kg:/m/09l13b,,Peter,,Silvester,,,,,M,rep,1791-10-24,1793-03-03,NY,5,,,,,,,,,,,,
S000832,,,410296,,,,,John Steele (North Carolina politician),22170,,,8869,Q1701809,kg:/m/04f8lz,,John,,Steele,,,,1764-11-16,M,rep,1789-03-04,1791-03-03,NC,4,,,,,,,,,,,,
S000832,,,410296,,,,,John Steele (North Carolina politician),22170,,,8869,Q1701809,kg:/m/04f8lz,,John,,Steele,,,,1764-11-16,M,rep,1791-10-24,1793-03-03,NC,1,,,,,,,,,,,,
S000866,,,410328,,,,,Samuel Sterett,22211,,,8896,Q1203736,kg:/m/0557st,,Samuel,,Sterett,,,,,M,rep,1791-10-24,1793-03-03,MD,4,,,,,,,,,,,,
S001047,,,410501,,,,,Jonathan Sturges,22432,,,9062,Q1703315,kg:/m/06qk1k,,Jonathan,,Sturges,,,,1740-08-23,M,rep,1789-03-04,1791-03-03,CT,-1,,,,,,,,,,,,
S001047,,,410501,,,,,Jonathan Sturges,22432,,,9062,Q1703315,kg:/m/06qk1k,,Jonathan,,Sturges,,,,1740-08-23,M,rep,1791-10-24,1793-03-03,CT,-1,,,,,,,,,,,,
T000403,,,410972,,,,,Thomas Tudor Tucker,23126,,,9501,Q464466,kg:/m/06rg8t,,Thomas,Tudor,Tucker,,,,1745-06-25,M,rep,1789-03-04,1791-03-03,SC,5,,,,,,,,,,,,
T000403,,,410972,,,,,Thomas Tudor Tucker,23126,,,9501,Q464466,kg:/m/06rg8t,,Thomas,Tudor,Tucker,,,,1745-06-25,M,rep,1791-10-24,1793-03-03,SC,5,,,,,,,,,,,,
W000216,,,411384,,,,,Anthony Wayne,23476,,,9885,Q574116,kg:/m/0k2g0,,Anthony,,Wayne,,,,1745-01-01,M,rep,1791-10-24,1793-03-03,GA,1,,,,,,,,,,,,
W000352,,,411514,,,,,Alexander White (Virginia politician),23635,,,10006,Q2643271,kg:/m/07v7xs,,Alexander,,White,,,,,M,rep,1789-03-04,1791-03-03,VA,1,,,,,,,,,,,,
W000352,,,411514,,,,,Alexander White (Virginia politician),23635,,,10006,Q2643271,kg:/m/07v7xs,,Alexander,,White,,,,,M,rep,1791-10-24,1793-03-03,VA,1,,,,,,,,,,,,
W000551,,,411707,,,,,Hugh Williamson,23868,,,10193,Q663151,kg:/m/02pyy0,,Hugh,,Williamson,,,,1735-12-05,M,rep,1789-03-04,1791-03-03,NC,2,,Federalist,,,,,,,,,,
W000551,,,411707,,,,,Hugh Williamson,23868,,,10193,Q663151,kg:/m/02pyy0,,Hugh,,Williamson,,,,1735-12-05,M,rep,1791-10-24,1793-03-03,NC,4,,Federalist,,,,,,,,,,
W000560,,,411716,,,,,Francis Willis (politician),23877,,,10202,Q1361138,kg:/m/0265tn5,,Francis,,Willis,,,,1745-01-05,M,rep,1791-10-24,1793-03-03,GA,3,,,,,,,,,,,,
E000075,,,403764,,,,,John Edwards (Kentucky politician),,,,2866,Q432795,kg:/m/08rgfg,,John,,Edwards,,,,,M,sen,1792-01-01,1795-03-03,KY,,3,Anti-Administration,,,,,,,,,,
P000473,,,408858,,,,,Richard Potts,19865,,,7564,Q6054920,kg:/m/05rgs3,,Richard,,Potts,,,,1753-07-19,M,sen,1793-01-10,1796-10-14,MD,,1,Federalist,,,,,,,,,,
A000280,,,400920,,,,,James Armstrong (Pennsylvania politician),8653,,,231,Q6128836,kg:/m/094g01,,James,,Armstrong,,,,1748-08-29,M,rep,1793-12-02,1795-03-03,PA,-1,,,,,,,,,,,,
B000282,,,401276,,,,,John Beatty (Continental Congress),9141,,,554,Q1413402,kg:/m/033lbp,,John,,Beatty,,,,1749-12-10,M,rep,1793-12-02,1795-03-03,NJ,-1,,,,,,,,,,,,
B000661,,,401623,,,,,Elias Boudinot,9640,,,878,Q51753,kg:/m/02rjz,,Elias,,Boudinot,,,,1740-05-02,M,rep,1789-03-04,1791-03-03,NJ,-1,,,,,,,,,,,,
B000661,,,401623,,,,,Elias Boudinot,9640,,,878,Q51753,kg:/m/02rjz,,Elias,,Boudinot,,,,1740-05-02,M,rep,1791-10-24,1793-03-03,NJ,-1,,,,,,,,,,,,
B000661,,,401623,,,,,Elias Boudinot,9640,,,878,Q51753,kg:/m/02rjz,,Elias,,Boudinot,,,,1740-05-02,M,rep,1793-12-02,1795-03-03,NJ,-1,,,,,,,,,,,,
B000671,,,401633,,,,,Shearjashub Bourne,9651,,,886,Q1535213,kg:/m/08vt2f,,Shearjashub,,Bourne,,,,1746-06-14,M,rep,1791-10-24,1793-03-03,MA,5,,,,,,,,,,,,
B000671,,,401633,,,,,Shearjashub Bourne,9651,,,886,Q1535213,kg:/m/08vt2f,,Shearjashub,,Bourne,,,,1746-06-14,M,rep,1793-12-02,1795-03-03,MA,3,,,,,,,,,,,,
B000739,,,401699,,,,,William Bradford (Rhode Island politician),,,,951,Q932530,kg:/m/01htjz,,William,,Bradford,,,,1729-11-04,M,sen,1793-12-02,1797-12-31,RI,,2,Federalist,,,,,,,,,,
C000012,,,402174,,,,,Lambert Cadwalader (representative),10457,,,1387,Q1119528,kg:/m/031gtk,,Lambert,,Cadwalader,,,,,M,rep,1789-03-04,1791-03-03,NJ,-1,,,,,,,,,,,,
C000012,,,402174,,,,,Lambert Cadwalader (representative),10457,,,1387,Q1119528,kg:/m/031gtk,,Lambert,,Cadwalader,,,,,M,rep,1793-12-02,1795-03-03,NJ,-1,,,,,,,,,,,,
C000163,,,402311,,,,,Thomas P. Carnes,10658,,,1518,Q1526302,kg:/m/08t6dm,,Thomas,Petters,Carnes,,,,,M,rep,1793-12-02,1795-03-03,GA,0,,,,,,,,,,,,
C000418,,,402557,,,,,Abraham Clark,10975,,,1750,Q329870,kg:/m/01mpsy,,Abraham,,Clark,,,,1726-02-15,M,rep,1791-10-24,1793-03-03,NJ,-1,,,,,,,,,,,,
C000418,,,402557,,,,,Abraham Clark,10975,,,1750,Q329870,kg:/m/01mpsy,,Abraham,,Clark,,,,1726-02-15,M,rep,1793-12-02,1795-03-03,NJ,-1,,,,,,,,,,,,
C000545,,,402678,,,,,David Cobb (Massachusetts politician),11129,,,1865,Q1174031,kg:/m/080bgg,,David,,Cobb,,,,1748-09-14,M,rep,1793-12-02,1795-03-03,MA,-1,,,,,,,,,,,,
C000591,,,402720,,,,,Peleg Coffin Jr.,11191,,,1906,Q2067932,kg:/m/08vvd0,,Peleg,,Coffin,,Jr.,,1756-11-03,M,rep,1793-12-02,1795-03-03,MA,3,,,,,,,,,,,,
D000157,,,412032,,,,,William Johnston Dawson,12026,,,2432,Q2579535,kg:/m/04f920,,William,Johnson,Dawson,,,,,M,rep,1793-12-02,1795-03-03,NC,8,,Anti-Administration,,,,,,,,,,
E000060,,,403755,,,,,Benjamin Edwards (Maryland politician),12673,,,2859,Q868544,kg:/m/08v3d9,,Benjamin,,Edwards,,,,1753-08-12,M,rep,1793-12-02,1795-03-03,MD,3,,,,,,,,,,,,
F000178,,,404133,,,,,Thomas Fitzsimons,13194,,,3196,Q671958,kg:/m/021h9p,,Thomas,,Fitzsimons,,,,,M,rep,1789-03-04,1791-03-03,PA,-1,,,,,,,,,,,,
F000178,,,404133,,,,,Thomas Fitzsimons,13194,,,3196,Q671958,kg:/m/021h9p,,Thomas,,Fitzsimons,,,,,M,rep,1791-10-24,1793-03-03,PA,1,,,,,,,,,,,,
F000178,,,404133,,,,,Thomas Fitzsimons,13194,,,3196,Q671958,kg:/m/021h9p,,Thomas,,Fitzsimons,,,,,M,rep,1793-12-02,1795-03-03,PA,-1,,,,,,,,,,,,
F000282,,,404232,,,,,Uriah Forrest,13328,,,3285,Q868551,kg:/m/04cjt9,,Uriah,,Forrest,,,,,M,rep,1793-12-02,1795-03-03,MD,3,,,,,,,,,,,,
F000368,,,404314,,,,,Frederick Frelinghuysen (general),13434,,,3361,Q5497813,kg:/m/02_31t,,Frederick,,Frelinghuysen,,,,1753-04-13,M,sen,1793-12-02,1797-03-03,NJ,,2,Federalist,,,,,,,,,,
G000211,,,404574,,,,,Alexander Gillon,13832,,,3607,Q2642191,kg:/m/096sf7,,Alexander,,Gillon,,,,,M,rep,1793-12-02,1795-03-03,SC,5,,,,,,,,,,,,
G000311,,,404669,,,,,James Gordon (New York politician),13956,,,3695,Q868475,kg:/m/09143y,,James,,Gordon,,,,1739-10-31,M,rep,1791-10-24,1793-03-03,NY,6,,,,,,,,,,,,
G000311,,,404669,,,,,James Gordon (New York politician),13956,,,3695,Q868475,kg:/m/09143y,,James,,Gordon,,,,1739-10-31,M,rep,1793-12-02,1795-03-03,NY,9,,,,,,,,,,,,
G000466,,,404811,,,,,Samuel Griffin,14153,,,3825,Q1571504,kg:/m/089cbk,,Samuel,,Griffin,,,,,M,rep,1789-03-04,1791-03-03,VA,10,,,,,,,,,,,,
G000466,,,404811,,,,,Samuel Griffin,14153,,,3825,Q1571504,kg:/m/089cbk,,Samuel,,Griffin,,,,,M,rep,1791-10-24,1793-03-03,VA,10,,,,,,,,,,,,
G000466,,,404811,,,,,Samuel Griffin,14153,,,3825,Q1571504,kg:/m/089cbk,,Samuel,,Griffin,,,,,M,rep,1793-12-02,1795-03-03,VA,13,,,,,,,,,,,,
H000750,,,405601,,,,,Samuel Holten,15210,,,4546,Q1716923,kg:/m/04htnn,,Samuel,,Holten,,,,1738-06-09,M,rep,1793-12-02,1795-03-03,MA,1,,,,,,,,,,,,
I000035,,,405892,,,,,William Irvine (general),15660,,,4820,Q3568725,kg:/m/04vncx,,William,,Irvine,,,,1741-11-03,M,rep,1793-12-02,1795-03-03,PA,-1,,,,,,,,,,,,
L000178,,,406680,,,,,Amasa Learned,16819,,,5543,Q455350,kg:/m/08sr8s,,Amasa,,Learned,,,,1750-11-15,M,rep,1791-10-24,1793-03-03,CT,-1,,,,,,,,,,,,
L000178,,,406680,,,,,Amasa Learned,16819,,,5543,Q455350,kg:/m/08sr8s,,Amasa,,Learned,,,,1750-11-15,M,rep,1793-12-02,1795-03-03,CT,-1,,,,,,,,,,,,
L000200,,,406703,,,,,Richard Bland Lee,16844,,,5564,Q2149095,kg:/m/08tvdf,,Richard,Bland,Lee,,,,1761-01-20,M,rep,1789-03-04,1791-03-03,VA,4,,,,,,,,,,,,
L000200,,,406703,,,,,Richard Bland Lee,16844,,,5564,Q2149095,kg:/m/08tvdf,,Richard,Bland,Lee,,,,1761-01-20,M,rep,1791-10-24,1793-03-03,VA,4,,,,,,,,,,,,
L000200,,,406703,,,,,Richard Bland Lee,16844,,,5564,Q2149095,kg:/m/08tvdf,,Richard,Bland,Lee,,,,1761-01-20,M,rep,1793-12-02,1795-03-03,VA,17,,,,,,,,,,,,
M000166,,,407188,,,,,Alexander Martin,,,,6012,Q642264,kg:/m/02j2c6,,Alexander,,Martin,,,,,M,sen,1793-12-02,1799-03-03,NC,,2,Republican,,,,,,,,,,
M000424,,,407423,,,,,"Joseph ""Pleasant Gardens"" McDowell",17857,,,6230,Q1707603,kg:/m/033sft,,Joseph,,McDowell,,,,1758-02-25,M,rep,1793-12-02,1795-03-03,NC,1,,,,,,,,,,,,
M000622,,,407611,,,,,Alexander Mebane,18102,,,6401,Q2545396,kg:/m/04f8w6,,Alexander,,Mebane,,,,1744-11-26,M,rep,1793-12-02,1795-03-03,NC,4,,,,,,,,,,,,
M000645,,,407631,,,,,John Francis Mercer,18132,,,6418,Q880672,kg:/m/08sw4r,,John,Francis,Mercer,,,,1759-05-17,M,rep,1791-10-24,1793-03-03,MD,3,,,,,,,,,,,,
M000645,,,407631,,,,,John Francis Mercer,18132,,,6418,Q880672,kg:/m/08sw4r,,John,Francis,Mercer,,,,1759-05-17,M,rep,1793-12-02,1795-03-03,MD,2,,,,,,,,,,,,
M000828,,,407803,,,,,Stephen Mix Mitchell,18370,,,6574,Q369829,kg:/m/057py6,,Stephen,Mix,Mitchell,,,,1743-12-09,M,sen,1793-12-02,1795-03-03,CT,,3,Pro-Administration,,,,,,,,,,
M000873,,,407845,,,,,William Montgomery (Pennsylvania soldier),18428,,,6608,Q8015749,kg:/m/094hf8,,William,,Montgomery,,,,1736-08-03,M,rep,1793-12-02,1795-03-03,PA,-1,,,,,,,,,,,,
N000055,,,408143,,,,,Joseph Neville,18904,,,6883,Q1707698,kg:/m/09w6bd,,Joseph,,Neville,,,,,M,rep,1793-12-02,1795-03-03,VA,3,,,,,,,,,,,,
N000109,,,408193,,,,,Nathaniel Niles (politician),18966,,,6932,Q1966777,kg:/m/09q65p,,Nathaniel,,Niles,,,,1741-04-03,M,rep,1791-10-24,1793-03-03,VT,2,,,,,,,,,,,,
N000109,,,408193,,,,,Nathaniel Niles (politician),18966,,,6932,Q1966777,kg:/m/09q65p,,Nathaniel,,Niles,,,,1741-04-03,M,rep,1793-12-02,1795-03-03,VT,2,,,,,,,,,,,,
P000320,,,408719,,,,,Andrew Pickens (congressman),19670,,,7425,Q506733,kg:/m/01k1kl,,Andrew,,Pickens,,,,1739-09-13,M,rep,1793-12-02,1795-03-03,SC,6,,,,,,,,,,,,
S000186,,,409691,,,,,Thomas Scott (American politician),21369,,,8312,Q6171054,kg:/m/05k3d8,,Thomas,,Scott,,,,,M,rep,1789-03-04,1791-03-03,PA,-1,,,,,,,,,,,,
S000186,,,409691,,,,,Thomas Scott (American politician),21369,,,8312,Q6171054,kg:/m/05k3d8,,Thomas,,Scott,,,,,M,rep,1793-12-02,1795-03-03,PA,-1,,,,,,,,,,,,
S001009,,,410466,,,,,Caleb Strong,,,,9028,Q546613,kg:/m/03d7pr,,Caleb,,Strong,,,,1745-01-09,M,sen,1789-03-04,1793-03-03,MA,,2,Pro-Administration,,,,,,,,,,
S001009,,,410466,,,,,Caleb Strong,,,,9028,Q546613,kg:/m/03d7pr,,Caleb,,Strong,,,,1745-01-09,M,sen,1793-12-02,1797-03-03,MA,,2,Federalist,,,,,,,,,,
T000019,,,410609,,,,,Silas Talbot,22655,,,9161,Q12410052,kg:/m/02mr25,,Silas,,Talbot,,,,1751-01-11,M,rep,1793-12-02,1795-03-03,NY,10,,,,,,,,,,,,
T000361,,,410931,,,,,Thomas Tredwell,23076,,,9463,Q2427741,kg:/m/08z7z9,,Thomas,,Tredwell,,,,1743-02-06,M,rep,1791-10-24,1793-03-03,NY,1,,,,,,,,,,,,
T000361,,,410931,,,,,Thomas Tredwell,23076,,,9463,Q2427741,kg:/m/08z7z9,,Thomas,,Tredwell,,,,1743-02-06,M,rep,1793-12-02,1795-03-03,NY,2,,,,,,,,,,,,
V000039,,,411084,,,,,Peter Van Gaasbeck,20924,,,9615,Q499513,kg:/m/08zsxb,,Peter,,Van Gaasbeck,,,,1754-09-27,M,rep,1793-12-02,1795-03-03,NY,4,,,,,,,,,,,,
V000104,,,411159,,,,,John Vining,20999,,,9676,Q1700934,kg:/m/04mpqv,,John,,Vining,,,,1758-12-23,M,rep,1789-03-04,1791-03-03,DE,0,,Pro-Administration,,,,,,,,,,
V000104,,,411159,,,,,John Vining,20999,,,9676,Q1700934,kg:/m/04mpqv,,John,,Vining,,,,1758-12-23,M,rep,1791-10-24,1793-03-03,DE,0,,Pro-Administration,,,,,,,,,,
