"HELP FOR HOMELESS YOUTH; Congressional Record Vol. 170, No. 37",https://www.congress.gov/congressional-record/volume-170/issue-37/house-section/article/H755-3,02/29/2024,,170,37,H755
"SUPPORTING NATIONAL HOMELESS PERSONS' MEMORIAL DAY; Congressional Record Vol. 156, No. 154",https://www.congress.gov/congressional-record/volume-156/issue-154/house-section/article/H7728-1,11/30/2010,,156,154,H7728
"HOMELESS ASSISTANCE ACT OF 2019; Congressional Record Vol. 166, No. 8",https://www.congress.gov/congressional-record/volume-166/issue-8/extensions-of-remarks-section/article/E37-2,01/14/2020,,166,8,E37
"CLOTHE A HOMELESS HERO ACT; Congressional Record Vol. 158, No. 149",https://www.congress.gov/congressional-record/volume-158/issue-149/house-section/article/H6440-1,11/27/2012,,158,149,H6440
"NATIONAL HOMELESS YOUTH AWARENESS MONTH; Congressional Record Vol. 153, No. 114",https://www.congress.gov/congressional-record/volume-153/issue-114/extensions-of-remarks-section/article/E1537-2,07/17/2007,,153,114,E1537
"LEGAL SERVICES FOR HOMELESS VETERANS ACT; Congressional Record Vol. 166, No. 37",https://www.congress.gov/congressional-record/volume-166/issue-37/house-section/article/H1176-1,02/25/2020,,166,37,H1176
"CLOTHE A HOMELESS HERO ACT; Congressional Record Vol. 158, No. 151",https://www.congress.gov/congressional-record/volume-158/issue-151/extensions-of-remarks-section/article/E1834-1,11/29/2012,,158,151,E1834
"MAKING HOMELESSNESS A NATIONAL PRIORITY; Congressional Record Vol. 171, No. 153",https://www.congress.gov/congressional-record/volume-171/issue-153/house-section/article/H4423-4,09/18/2025,,171,153,H4423
"HOMELESS VETERANS WITH CHILDREN REINTEGRATION ACT; Congressional Record Vol. 167, No. 85",https://www.congress.gov/congressional-record/volume-167/issue-85/house-section/article/H2364-1,05/17/2021,,167,85,H2364
"HOMELESS VETERANS ASSISTANCE ACT OF 2004; Congressional Record Vol. 150, No. 125",https://www.congress.gov/congressional-record/volume-150/issue-125/house-section/article/H8382-1,10/06/2004,,150,125,H8382
"RECONNECTING HOMELESS YOUTH ACT OF 2008; Congressional Record Vol. 154, No. 94",https://www.congress.gov/congressional-record/volume-154/issue-94/house-section/article/H5069-1,06/09/2008,,154,94,H5069
"THE STATE OF HOMELESSNESS IN AMERICA; Congressional Record Vol. 162, No. 79",https://www.congress.gov/congressional-record/volume-162/issue-79/house-section/article/H2707-1,05/18/2016,,162,79,H2707
"ZERO TOLERANCE FOR VETERANS HOMELESSNESS ACT; Congressional Record Vol. 155, No. 118",https://www.congress.gov/congressional-record/volume-155/issue-118/senate-section/article/S8628-2,07/31/2009,,155,118,S8628
"HOMELESS VETERANS ASSISTANCE ACT OF 2001; Congressional Record Vol. 147, No. 112",https://www.congress.gov/congressional-record/volume-147/issue-112/extensions-of-remarks-section/article/E1519-1,08/03/2001,,147,112,E1519
"END VETERAN HOMELESSNESS ACT OF 2010; Congressional Record Vol. 156, No. 44",https://www.congress.gov/congressional-record/volume-156/issue-44/house-section/article/H2178-3,03/22/2010,,156,44,H2178
"TRIBAL ACCESS TO HOMELESS ASSISTANCE ACT; Congressional Record Vol. 165, No. 184",https://www.congress.gov/congressional-record/volume-165/issue-184/house-section/article/H8926-1,11/18/2019,,165,184,H8926
"END VETERAN HOMELESSNESS ACT OF 2010; Congressional Record Vol. 156, No. 45",https://www.congress.gov/congressional-record/volume-156/issue-45/extensions-of-remarks-section/article/E452-2,03/23/2010,,156,45,E452
"STEWART B. McKINNEY HOMELESS ASSISTANCE ACT; Congressional Record Vol. 146, No. 128",https://www.congress.gov/congressional-record/volume-146/issue-128/senate-section/article/S10545-1,10/13/2000,,146,128,S10545
"RECONNECTING HOMELESS YOUTH ACT OF 2008; Congressional Record Vol. 154, No. 154",https://www.congress.gov/congressional-record/volume-154/issue-154/house-section/article/H10113-1,09/26/2008,,154,154,H10113
"HOMELESS ASSISTANCE CONSOLIDATION ACT OF 2006; Congressional Record Vol. 152, No. 37",https://www.congress.gov/congressional-record/volume-152/issue-37/extensions-of-remarks-section/article/E458-1,03/29/2006,,152,37,E458
"THE STATE OF HOMELESSNESS IN AMERICA; Congressional Record Vol. 162, No. 91",https://www.congress.gov/congressional-record/volume-162/issue-91/house-section/article/H3572-1,06/09/2016,,162,91,H3572
"RECOGNIZING NATIONAL HOMELESS PERSONS' MEMORIAL DAY; Congressional Record Vol. 157, No. 196",https://www.congress.gov/congressional-record/volume-157/issue-196/extensions-of-remarks-section/article/E2316-3,12/19/2011,,157,196,E2316
"HEATHER FRENCH HENRY HOMELESS VETERANS ASSISTANCE ACT; Congressional Record Vol. 147, No. 158",https://www.congress.gov/congressional-record/volume-147/issue-158/senate-section/article/S11917-1,11/15/2001,,147,158,S11917
"TRANSITIONAL HOUSING PROGRAM FOR HOMELESS VETERANS; Congressional Record Vol. 149, No. 32",https://www.congress.gov/congressional-record/volume-149/issue-32/extensions-of-remarks-section/article/E314-5,02/27/2003,,149,32,E314
"SHELTER HOUSING FOR THE HOMELESS; Congressional Record Vol. 159, No. 113",https://www.congress.gov/congressional-record/volume-159/issue-113/house-section/article/H5274-4,08/01/2013,,159,113,H5274
"HOMELESS VETERANS COMPREHENSIVE ASSISTANCE ACT OF 2001; Congressional Record Vol. 147, No. 171",https://www.congress.gov/congressional-record/volume-147/issue-171/house-section/article/H9112-1,12/11/2001,,147,171,H9112
"HOMELESS HOUSING PROGRAMS CONSOLIDATION AND FLEXIBILITY ACT; Congressional Record Vol. 144, No. 19",https://www.congress.gov/congressional-record/volume-144/issue-19/house-section/article/H703-5,03/03/1998,,144,19,H703
"NATIONAL HOMELESSNESS AND HUNGER AWARENESS WEEK; Congressional Record Vol. 159, No. 167",https://www.congress.gov/congressional-record/volume-159/issue-167/senate-section/article/S8448-2,11/21/2013,,159,167,S8448
"McKINNEY EDUCATION FOR HOMELESS CHILDREN AND YOUTH; Congressional Record Vol. 141, No. 82",https://www.congress.gov/congressional-record/volume-141/issue-82/extensions-of-remarks-section/article/E1066-1,05/17/1995,,141,82,E1066
"ROBERT STODOLA HOMELESS ASSISTANCE ACT; Congressional Record Vol. 143, No. 128",https://www.congress.gov/congressional-record/volume-143/issue-128/house-section/article/H7613-6,09/23/1997,,143,128,H7613
"RUNAWAY, HOMELESS, AND MISSING CHILDREN PROTECTION ACT; Congressional Record Vol. 149, No. 134",https://www.congress.gov/congressional-record/volume-149/issue-134/senate-section/article/S12099-1,09/26/2003,,149,134,S12099
"RUNAWAY, HOMELESS, AND MISSING CHILDREN PROTECTION ACT; Congressional Record Vol. 149, No. 75",https://www.congress.gov/congressional-record/volume-149/issue-75/house-section/article/H4266-1,05/20/2003,,149,75,H4266
"HOMELESS VETERANS COMPREHENSIVE ASSISTANCE ACT OF 2001; Congressional Record Vol. 147, No. 168",https://www.congress.gov/congressional-record/volume-147/issue-168/senate-section/article/S12578-2,12/06/2001,,147,168,S12578
"RECONNECTING HOMELESS YOUTH ACT OF 2008; Congressional Record Vol. 154, No. 43",https://www.congress.gov/congressional-record/volume-154/issue-43/extensions-of-remarks-section/article/E384-1,03/13/2008,,154,43,E384
"HOMELESS VETERANS SERVICES PROTECTION ACT OF 2015; Congressional Record Vol. 161, No. 160",https://www.congress.gov/congressional-record/volume-161/issue-160/senate-section/article/S7621-1,10/29/2015,,161,160,S7621
"NATIONAL COALITION FOR THE HOMELESS 30TH ANNIVERSARY; Congressional Record Vol. 159, No. 52",https://www.congress.gov/congressional-record/volume-159/issue-52/senate-section/article/S2745-1,04/17/2013,,159,52,S2745
"CLEVELAND HOMELESS PROJECT LOSES FUNDS FROM HUD; Congressional Record Vol. 145, No. 24",https://www.congress.gov/congressional-record/volume-145/issue-24/extensions-of-remarks-section/article/E197-3,02/10/1999,,145,24,E197
"NATIONAL HUNGER AND HOMELESS AWARENESS WEEK; Congressional Record Vol. 150, No. 133",https://www.congress.gov/congressional-record/volume-150/issue-133/extensions-of-remarks-section/article/E2038-2,11/18/2004,,150,133,E2038
"SERVICES FOR ENDING LONG-TERM HOMELESSNESS ACT; Congressional Record Vol. 151, No. 39",https://www.congress.gov/congressional-record/volume-151/issue-39/extensions-of-remarks-section/article/E583-2,04/07/2005,,151,39,E583
"EFFORTS TO ASSIST THE HOMELESS AND HUNGRY; Congressional Record Vol. 147, No. 97",https://www.congress.gov/congressional-record/volume-147/issue-97/extensions-of-remarks-section/article/E1326-3,07/12/2001,,147,97,E1326
"SERVICES FOR ENDING LONG-TERM HOMELESSNESS ACT; Congressional Record Vol. 155, No. 135",https://www.congress.gov/congressional-record/volume-155/issue-135/extensions-of-remarks-section/article/E2338-3,09/23/2009,,155,135,E2338
"VETERAN HOMELESSNESS IS UNACCEPTABLE; Congressional Record Vol. 170, No. 171",https://www.congress.gov/congressional-record/volume-170/issue-171/house-section/article/H6098-5,11/19/2024,,170,171,H6098
"HOMELESS DUE TO MEDICAL BILLS; Congressional Record Vol. 157, No. 7",https://www.congress.gov/congressional-record/volume-157/issue-7/house-section/article/H323-5,01/19/2011,,157,7,H323
"PERMANENT HOUSING HOMELESS PREVENTION GRANT RENEWAL ACT; Congressional Record Vol. 147, No. 28",https://www.congress.gov/congressional-record/volume-147/issue-28/extensions-of-remarks-section/article/E291-2,03/06/2001,,147,28,E291
"END VETERAN HOMELESSNESS ACT OF 2010; Congressional Record Vol. 156, No. 45",https://www.congress.gov/congressional-record/volume-156/issue-45/extensions-of-remarks-section/article/E456-1,03/23/2010,,156,45,E456
"EXPAND THE DEFINITION OF HOMELESS FOR VETERANS; Congressional Record Vol. 161, No. 16",https://www.congress.gov/congressional-record/volume-161/issue-16/extensions-of-remarks-section/article/E139-4,01/30/2015,,161,16,E139
"HOMELESS VETERANS ASSISTANCE REAUTHORIZATION ACT OF 2004; Congressional Record Vol. 150, No. 57",https://www.congress.gov/congressional-record/volume-150/issue-57/extensions-of-remarks-section/article/E706-2,04/29/2004,,150,57,E706
"HOMELESS VETERANS REINTEGRATION PROGRAM REAUTHORIZATION ACT OF 2009; Congressional Record Vol. 155, No. 53",https://www.congress.gov/congressional-record/volume-155/issue-53/house-section/article/H4067-7,03/30/2009,,155,53,H4067
"HOMELESS VETERANS' REINTEGRATION PROGRAMS REAUTHORIZATION ACT OF 2018; Congressional Record Vol. 164, No. 83",https://www.congress.gov/congressional-record/volume-164/issue-83/house-section/article/H4263-2,05/21/2018,,164,83,H4263
"HOMELESS VETERANS COMPREHENSIVE ASSISTANCE ACT OF 2001; Congressional Record Vol. 147, No. 173",https://www.congress.gov/congressional-record/volume-147/issue-173/extensions-of-remarks-section/article/E2283-2,12/13/2001,,147,173,E2283
"HOUSING FOR HOMELESS STUDENTS ACT; Congressional Record Vol. 162, No. 80",https://www.congress.gov/congressional-record/volume-162/issue-80/extensions-of-remarks-section/article/E747-3,05/19/2016,,162,80,E747
"SERVICES FOR ENDING LONG-TERM HOMELESSNESS ACT; Congressional Record Vol. 152, No. 103",https://www.congress.gov/congressional-record/volume-152/issue-103/senate-section/article/S8445-1,07/31/2006,,152,103,S8445
"HOMELESS VETERANS REINTEGRATION PROGRAM REAUTHORIZATION ACT OF 2009; Congressional Record Vol. 155, No. 54",https://www.congress.gov/congressional-record/volume-155/issue-54/extensions-of-remarks-section/article/E829-3,03/31/2009,,155,54,E829
"RUNAWAY AND HOMELESS YOUTH AND TRAFFICKING PREVENTION ACT; Congressional Record Vol. 164, No. 48",https://www.congress.gov/congressional-record/volume-164/issue-48/senate-section/article/S1834-3,03/20/2018,,164,48,S1834
"RUNAWAY, HOMELESS, AND MISSING CHILDREN PROTECTION ACT; Congressional Record Vol. 149, No. 136",https://www.congress.gov/congressional-record/volume-149/issue-136/senate-section/article/S12206-1,09/30/2003,,149,136,S12206
"THE PRESIDENT'S VOW: ENDING VETERANS HOMELESSNESS BY 2015; Congressional Record Vol. 161, No. 171",https://www.congress.gov/congressional-record/volume-161/issue-171/extensions-of-remarks-section/article/E1665-1,11/19/2015,,161,171,E1665
"TO EXPAND THE DEFINITION OF HOMELESS FOR VETERANS; Congressional Record Vol. 158, No. 51",https://www.congress.gov/congressional-record/volume-158/issue-51/extensions-of-remarks-section/article/E478-5,03/28/2012,,158,51,E478
"NEW HAMPSHIRE DAY TO END CHILDHOOD HOMELESSNESS; Congressional Record Vol. 160, No. 122",https://www.congress.gov/congressional-record/volume-160/issue-122/senate-section/article/S5309-3,07/31/2014,,160,122,S5309
"INTRODUCTION OF THE HOMELESSNESS ASSISTANCE FUNDING FAIRNESS ACT; Congressional Record Vol. 145, No. 60",https://www.congress.gov/congressional-record/volume-145/issue-60/extensions-of-remarks-section/article/E820-4,04/29/1999,,145,60,E820
"HOMELESS VETERANS' REINTEGRATION PROGRAMS REAUTHORIZATION ACT OF 2015; Congressional Record Vol. 161, No. 76",https://www.congress.gov/congressional-record/volume-161/issue-76/house-section/article/H3258-8,05/18/2015,,161,76,H3258
"HONORING EFFORTS TO END HOMELESSNESS IN HUDSON COUNTY; Congressional Record Vol. 155, No. 93",https://www.congress.gov/congressional-record/volume-155/issue-93/extensions-of-remarks-section/article/E1505-4,06/19/2009,,155,93,E1505
"RUNAWAY AND HOMELESS YOUTH AND TRAFFICKING PREVENTION ACT; Congressional Record Vol. 160, No. 138",https://www.congress.gov/congressional-record/volume-160/issue-138/senate-section/article/S5981-2,11/13/2014,,160,138,S5981
"A TRIBUTE TO THE CATHEDRAL SQUARE HOMELESS PROGRAM; Congressional Record Vol. 153, No. 184",https://www.congress.gov/congressional-record/volume-153/issue-184/extensions-of-remarks-section/article/E2465-1,12/04/2007,,153,184,E2465
"CELEBRATING THE 30TH ANNIVERSARY OF HOMELESS SOLUTIONS, INC.; Congressional Record Vol. 160, No. 49",https://www.congress.gov/congressional-record/volume-160/issue-49/extensions-of-remarks-section/article/E458-1,03/27/2014,,160,49,E458
"INTRODUCTION OF THE HOMELESS VETERANS ASSISTANCE ACT OF 2006; Congressional Record Vol. 152, No. 102",https://www.congress.gov/congressional-record/volume-152/issue-102/extensions-of-remarks-section/article/E1606-3,07/28/2006,,152,102,E1606
"THE HOMELESS AND COMMUNITY COOPERATION ACT OF 1995; Congressional Record Vol. 141, No. 88",https://www.congress.gov/congressional-record/volume-141/issue-88/extensions-of-remarks-section/article/E1130-2,05/25/1995,,141,88,E1130
"RECOGNIZING TINY HOUSE PROJECT FOR HOMELESS VETERANS; Congressional Record Vol. 166, No. 4",https://www.congress.gov/congressional-record/volume-166/issue-4/house-section/article/H52-4,01/08/2020,,166,4,H52
"HOMELESS EMERGENCY ASSISTANCE AND RAPID TRANSITION TO HOUSING ACT; Congressional Record Vol. 155, No. 57",https://www.congress.gov/congressional-record/volume-155/issue-57/senate-section/article/S4437-3,04/20/2009,,155,57,S4437
"NATIONAL HOMELESS YOUTH AWARENESS MONTH; Congressional Record Vol. 153, No. 110",https://www.congress.gov/congressional-record/volume-153/issue-110/senate-section/article/S9057-2,07/11/2007,,153,110,S9057
"STUART COLLICK--HEATHER FRENCH HENRY HOMELESS VETERANS ASSISTANCE ACT; Congressional Record Vol. 147, No. 139",https://www.congress.gov/congressional-record/volume-147/issue-139/house-section/article/H6814-1,10/16/2001,,147,139,H6814
"RENEWAL FUNDING FOR HOMELESS RENTAL ASSISTANCE GRANTS; Congressional Record Vol. 146, No. 94",https://www.congress.gov/congressional-record/volume-146/issue-94/extensions-of-remarks-section/article/E1281-1,07/19/2000,,146,94,E1281
"RECOGNIZING ``NATIONAL HOMELESS YOUTH AWARENESS MONTH''; Congressional Record Vol. 153, No. 107",https://www.congress.gov/congressional-record/volume-153/issue-107/extensions-of-remarks-section/article/E1464-3,06/29/2007,,153,107,E1464
"RUNAWAY AND HOMELESS YOUTH REAUTHORIZATION ACT; Congressional Record Vol. 142, No. 28",https://www.congress.gov/congressional-record/volume-142/issue-28/senate-section/article/S1531-3,03/05/1996,,142,28,S1531
"RECOGNIZING HENNEPIN COUNTY EFFECTIVELY ENDING VETERAN HOMELESSNESS; Congressional Record Vol. 171, No. 12",https://www.congress.gov/congressional-record/volume-171/issue-12/extensions-of-remarks-section/article/E54-4,01/21/2025,,171,12,E54
"REINTRODUCING THE SERVICES FOR ENDING LONG-TERM HOMELESSNESS ACT; Congressional Record Vol. 161, No. 37",https://www.congress.gov/congressional-record/volume-161/issue-37/extensions-of-remarks-section/article/E307-1,03/04/2015,,161,37,E307
"REINTRODUCING THE SERVICES FOR ENDING LONG-TERM HOMELESSNESS ACT; Congressional Record Vol. 165, No. 99",https://www.congress.gov/congressional-record/volume-165/issue-99/extensions-of-remarks-section/article/E770-2,06/13/2019,,165,99,E770
"SERVICES FOR ENDING LONG-TERM HOMELESSNESS ACT OF 2009; Congressional Record Vol. 155, No. 136",https://www.congress.gov/congressional-record/volume-155/issue-136/extensions-of-remarks-section/article/E2364-3,09/24/2009,,155,136,E2364
"SUPPORT THE HOMELESS EDUCATION IMPROVEMENT ACT OF 2007; Congressional Record Vol. 153, No. 132",https://www.congress.gov/congressional-record/volume-153/issue-132/house-section/article/H10248-4,09/07/2007,,153,132,H10248
"30TH ANNIVERSARY OF THE NATIONAL COALITION FOR THE HOMELESS; Congressional Record Vol. 159, No. 53",https://www.congress.gov/congressional-record/volume-159/issue-53/extensions-of-remarks-section/article/E492-1,04/18/2013,,159,53,E492
"STEWART B. MCKINNEY HOMELESS EDUCATION ASSISTANCE IMPROVEMENTS ACT OF 1999; Congressional Record Vol. 145, No. 123",https://www.congress.gov/congressional-record/volume-145/issue-123/house-section/article/H8442-2,09/21/1999,,145,123,H8442
"RECOGNIZING JEREMY HISSONG'S EFFORTS TO SUPPORT HOMELESS STUDENTS; Congressional Record Vol. 159, No. 152",https://www.congress.gov/congressional-record/volume-159/issue-152/extensions-of-remarks-section/article/E1589-2,10/29/2013,,159,152,E1589
"INTRODUCTION OF THE McKINNEY-VENTO HOMELESS EDUCATION ACT OF 2001; Congressional Record Vol. 147, No. 21",https://www.congress.gov/congressional-record/volume-147/issue-21/extensions-of-remarks-section/article/E191-2,02/14/2001,,147,21,E191
"THE HOMELESS HOUSING PROGRAMS CONSOLIDATION AND FLEXIBILITY ACT OF 1997; Congressional Record Vol. 143, No. 1",https://www.congress.gov/congressional-record/volume-143/issue-1/extensions-of-remarks-section/article/E50-2,01/07/1997,,143,1,E50
"INTRODUCTION OF RUNAWAY AND HOMELESS YOUTH AMENDMENTS OF 1996; Congressional Record Vol. 142, No. 103",https://www.congress.gov/congressional-record/volume-142/issue-103/extensions-of-remarks-section/article/E1275-2,07/12/1996,,142,103,E1275
"THE RUNAWAY AND HOMELESS YOUTH AND TRAFFICKING PREVENTION ACT; Congressional Record Vol. 161, No. 64",https://www.congress.gov/congressional-record/volume-161/issue-64/senate-section/article/S2560-1,04/30/2015,,161,64,S2560
"THE HOMELESS VETERANS REINTEGRATION PROGRAM REAUTHORIZATION ACT OF 2005; Congressional Record Vol. 151, No. 96",https://www.congress.gov/congressional-record/volume-151/issue-96/extensions-of-remarks-section/article/E1498-1,07/15/2005,,151,96,E1498
"HOMELESS VETERANS HOUSING AT SEPULVEDA AMBULATORY CARE CENTER PROMOTION ACT; Congressional Record Vol. 153, No. 74",https://www.congress.gov/congressional-record/volume-153/issue-74/house-section/article/H4516-1,05/07/2007,,153,74,H4516
"HOUSING ACT AMENDMENT JEOPARDIZES HOMELESS ASSISTANCE USE OF FEDERAL PROPERTY; Congressional Record Vol. 142, No. 77",https://www.congress.gov/congressional-record/volume-142/issue-77/extensions-of-remarks-section/article/E970-2,05/30/1996,,142,77,E970
"RECOGNIZING THE 20TH ANNIVERSARY OF THE McKINNEY-VENTO HOMELESS ASSISTANCE ACT; Congressional Record Vol. 153, No. 118",https://www.congress.gov/congressional-record/volume-153/issue-118/house-section/article/H8217-1,07/23/2007,,153,118,H8217
"HOMELESS EMERGENCY ASSISTANCE AND RAPID TRANSITION TO HOUSING ACT OF 2008; Congressional Record Vol. 154, No. 160",https://www.congress.gov/congressional-record/volume-154/issue-160/house-section/article/H10654-1,10/02/2008,,154,160,H10654
"EXPANDING THE DEPARTMENT OF VETERANS AFFAIRS DEFINITION OF ""HOMELESS VETERAN""; Congressional Record Vol. 159, No. 29",https://www.congress.gov/congressional-record/volume-159/issue-29/extensions-of-remarks-section/article/E227-4,02/28/2013,,159,29,E227
"INTRODUCTION OF ``HEATHER FRENCH HENRY HOMELESS VETERANS ASSISTANCE ACT'', H.R. 936; Congressional Record Vol. 147, No. 30",https://www.congress.gov/congressional-record/volume-147/issue-30/extensions-of-remarks-section/article/E314-1,03/08/2001,,147,30,E314
"TWENTY-FIFTH ANNIVERSARY OF THE RUNAWAY AND HOMELESS YOUTH ACT; Congressional Record Vol. 145, No. 100",https://www.congress.gov/congressional-record/volume-145/issue-100/senate-section/article/S8627-2,07/15/1999,,145,100,S8627
"MENTAL ILLNESS AND THE HOMELESS; Congressional Record Vol. 161, No. 7",https://www.congress.gov/congressional-record/volume-161/issue-7/house-section/article/H362-5,01/14/2015,,161,7,H362
"RUNAWAY, HOMELESS, AND MISSING CHILDREN PROTECTION ACT; Congressional Record Vol. 149, No. 76",https://www.congress.gov/congressional-record/volume-149/issue-76/extensions-of-remarks-section/article/E1042-3,05/21/2003,,149,76,E1042
"HONORING CHRIS NEWTON AND THE PAPPAS SCHOOL FOR HOMELESS CHILDREN; Congressional Record Vol. 149, No. 73",https://www.congress.gov/congressional-record/volume-149/issue-73/house-section/article/H4172-3,05/15/2003,,149,73,H4172
"HOMELESS VETERAN FAMILIES ACT; Congressional Record Vol. 165, No. 162",https://www.congress.gov/congressional-record/volume-165/issue-162/house-section/article/H8138-2,10/15/2019,,165,162,H8138
